From,To,Route,Summer_2022,Winter_2022_23,Summer_2023,Winter_2023_24,Latitude_Start,Longitude_Start,Country_Start,LandPart_Start,Distance_to_coastline_Start,GDP_per_capita_2021_Start,Population_50km_Start,Latitude_End,Longitude_End,Country_End,LandPart_End,Distance_to_coastline_End,GDP_per_capita_2021_End,Population_50km_End,Alternative_available,Immigrants_in_End_from_Start,Immigrants_in_Start_from_End,Route_distance,Tourist_Atractiveness,Economic_Atractiveness,Family_travel_Atractiveness,Latitude_min,GDP_per_capita_2021_min,GDP_per_capita_2021_max,Distance_to_coastline_min,Population_50km_max,Population_50km_min,Both_Summers,Both_Winters,Both_Summers_weekly,Both_Winters_weekly
Pula (PUY),Vienna (VIE),Pula (PUY) - Vienna (VIE),35,0,61,0,44.893532,13.92219,Croatia,1,4.568363255,17200,174905.2248,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,47000,5000,411.5125705,0.672698549,0.303663675,0.023637776,44.893532,17200,50900,44.893532,3421820.475,174905.2248,96,0,1.5,0
Milan (MXP),Madrid (MAD),Milan (MXP) - Madrid (MAD),50,144,0,0,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,1,154000,35000,1150.670761,0.579990002,0.349793494,0.070216504,40.488701,30600,35400,40.488701,7441190.611,6159052.001,50,144,0.78125,3.6
Madrid (MAD),Milan (MXP),Madrid (MAD) - Milan (MXP),204,144,225,163,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,35000,154000,1150.670761,0.579990002,0.349793494,0.070216504,40.488701,30600,35400,40.488701,7441190.611,6159052.001,429,307,6.703125,7.675
Valencia (VLC),Milan (MXP),Valencia (VLC) - Milan (MXP),244,144,299,204,39.489311,-0.48162,Spain,1,13.2933215,23700,2240515.048,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,35000,154000,1017.452911,0.626194947,0.301198618,0.072606436,39.489311,23700,30600,39.489311,6159052.001,2240515.048,543,348,8.484375,8.7
Milan (MXP),Valencia (VLC),Milan (MXP) - Valencia (VLC),213,0,213,151,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,39.489311,-0.48162,Spain,1,13.2933215,23700,2240515.048,1,154000,35000,1017.452911,0.626194947,0.301198618,0.072606436,39.489311,23700,30600,39.489311,6159052.001,2240515.048,426,151,6.65625,3.775
Funchal (FNC),Manchester (MAN),Funchal (FNC) - Manchester (MAN),92,62,91,53,32.69788,-16.774401,Portugal,26,0.357542385,19800,257720.7044,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,142000,21000,2573.259566,0.623280705,0.323303843,0.053415452,32.69788,19800,53214,32.69788,6629384.467,257720.7044,183,115,2.859375,2.875
Manchester (MAN),Funchal (FNC),Manchester (MAN) - Funchal (FNC),93,62,91,53,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,32.69788,-16.774401,Portugal,26,0.357542385,19800,257720.7044,0,21000,142000,2573.259566,0.623280705,0.323303843,0.053415452,32.69788,19800,53214,32.69788,6629384.467,257720.7044,184,115,2.875,2.875
Berlin (BER),Milan (MXP),Berlin (BER) - Milan (MXP),199,103,222,128,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,211000,695000,826.2123985,0.442179744,0.264183029,0.293637227,45.6306,30600,35600,45.6306,6159052.001,4769709.193,421,231,6.578125,5.775
Milan (MXP),Berlin (BER),Milan (MXP) - Berlin (BER),199,103,222,128,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,1,695000,211000,826.2123985,0.442179744,0.264183029,0.293637227,45.6306,30600,35600,45.6306,6159052.001,4769709.193,421,231,6.578125,5.775
Dublin (DUB),Madrid (MAD),Dublin (DUB) - Madrid (MAD),218,375,215,299,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,0,16000,9000,1453.985373,0.476778606,0.515746985,0.007474409,40.488701,35400,140200,40.488701,7441190.611,1919109.862,433,674,6.765625,16.85
